市场,代码,名称,板块,细分行业,货币,最新价,今日最高,今日最低,今开,成交量,成交额,昨收,总股本,市盈率(动),市盈率(静),市盈率TTM,市净率,换手率%,涨跌幅%,涨跌额,总市值,流通市值,52周最高(前复权),52周最低(前复权)
美股,HRL,荷美尔,可选消费,食品,USD,21.57,21.58,21.14,21.29,10648741.0,227871849.0,21.28,550350800.0,34.64,24.82,34.64,1.51,1.93,1.36,0.29,11871066756.0,11871066756.0,26.51,19.74
美股,MKC,味好美,可选消费,食品,USD,55.33,55.66,54.76,54.76,2002625.0,110718186.0,54.54,268851552.0,9.23,18.99,9.23,2.13,0.79,1.45,0.79,14875556372.0,14056871450.0,71.65,45.6
美股,PG,宝洁,可选消费,个人护理及家居,USD,143.78,144.4,143.01,143.25,5870682.0,842804240.0,143.14,2322672312.0,20.81,20.81,20.81,6.18,0.25,0.45,0.64,333953825019.0,333953825019.0,167.2,138.04
美股,CL,高露洁,可选消费,个人护理及家居,USD,90.75,91.66,90.495,91.4,3016073.0,273940400.0,90.96,797172829.0,35.5,33.93,35.5,306.54,0.38,-0.23,-0.21,72343434232.0,72343434232.0,99.14,74.98
美股,KMB,金佰利,可选消费,个人护理及家居,USD,109.55,111.39,109.52,110.95,2433647.0,267612726.0,109.98,332579038.0,18.66,18.05,18.66,1.7,0.0,-0.39,-0.43,31912281000.0,36434034000.0,148.35,109.55
美股,CHD,切迟杜威,可选消费,个人护理及家居,USD,101.26,102.69,101.08,102.52,1244497.0,126301711.0,102.37,237203907.0,32.25,32.6,32.25,5.52,0.52,-1.08,-1.11,24019267623.0,24019267623.0,105.26,81.6
美股,CLX,高乐氏,可选消费,个人护理及家居,USD,102.53,104.85,102.25,104.02,1866259.0,191932570.0,103.63,120931005.0,21.12,21.12,21.12,137.77,1.54,-1.06,-1.1,12399055943.0,12399055943.0,127.16,86.12
美股,UL,联合利华,可选消费,个人护理及家居,USD,65.07,65.295,64.8,64.83,4566119.0,296860256.0,64.42,2154327344.0,13.04,14.8,13.04,7.59,0.21,1.01,0.65,140182080274.0,140182080274.0,74.59,55.05
美股,EL,雅诗兰黛,可选消费,美妆,USD,103.39,107.43,102.59,106.99,3121968.0,323518416.0,106.21,361798567.0,205.53,205.53,205.53,9.83,1.26,-2.66,-2.82,37406353842.0,25567439546.0,119.61,67.23
美股,MCD,麦当劳,可选消费,快餐,USD,265.0,265.1,260.32,261.33,3891302.0,1027153920.0,260.06,707641531.0,21.34,21.9,21.34,-183.31,0.55,1.9,4.94,187525005715.0,187525005715.0,341.06,260.06
美股,SBUX,星巴克,可选消费,咖啡餐饮,USD,107.85,108.7,107.26,107.79,4832834.0,521993712.0,107.26,1140000000.0,62.01,66.23,62.01,-16.02,0.42,0.55,0.59,122949000000.0,122949000000.0,108.55,78.46
美股,YUM,百胜餐饮,可选消费,快餐,USD,153.86,154.57,151.445,151.64,1545389.0,237493752.0,150.75,272901085.0,18.95,26.93,18.95,-5.91,0.57,2.06,3.11,41988560938.0,41988560938.0,168.16,138.21
美股,CMG,奇波雷,可选消费,快餐,USD,38.03,38.26,37.53,37.6,12715267.0,483257152.0,37.22,1265418000.0,33.9,31.34,33.9,21.88,1.0,2.18,0.81,48123846540.0,48123846540.0,42.41,28.18
美股,DRI,达登餐饮,可选消费,休闲餐饮,USD,215.63,215.98,210.88,212.11,779457.0,167449151.0,211.13,113541756.0,20.29,20.29,20.29,11.09,0.69,2.13,4.5,24483008846.0,24483008846.0,227.68,169.21
美股,QSR,餐饮品牌国际,可选消费,快餐,USD,78.26,78.54,77.86,78.43,3259430.0,254959909.0,78.07,348758065.0,21.44,35.17,21.44,7.09,0.93,0.24,0.19,27293806167.0,27293806167.0,81.67,61.86
美股,WEN,温迪,可选消费,快餐,USD,8.27,8.3,7.85,7.85,8253771.0,67304800.0,7.815,190669930.0,12.51,9.55,12.51,13.09,4.33,5.82,0.455,1576840321.0,1576840321.0,10.61,6.17
美股,PZZA,棒约翰,可选消费,披萨,USD,23.72,23.82,23.235,23.34,946485.0,22337973.0,23.23,32921687.0,28.33,25.58,28.33,-1.72,2.87,2.11,0.49,780902416.0,780902416.0,55.31,23.23
